id,jenis_komoditi,jumlah,satuan,tahun
1,AREN,12477,TON,2013
2,CENGKEH,6422,TON,2013
3,GUTTAPERCHA,0,TON,2013
4,JAMBU METE,37,TON,2013
5,JARAK,261,TON,2013
6,KAKAO,1056,TON,2013
7,KAPOK,556,TON,2013
8,KARET,5126,TON,2013
9,KAYU MANIS,11,TON,2013
10,KELAPA DALAM,102769,TON,2013
11,KELAPA HIBRIDA,2729,TON,2013
12,KELAPA SAWIT,612,TON,2013
13,KEMIRI,299,TON,2013
14,KEMIRI SUNAN,0,TON,2013
15,KENANGA,17,TON,2013
16,KINA,48,TON,2013
17,KOPI ARABIKA,9385,TON,2013
18,KOPI ROBUSTA,7204,TON,2013
19,KUMIS KUCING,116,TON,2013
20,LADA,833,TON,2013
21,PALA,1232,TON,2013
22,PANDAN,346,TON,2013
23,PANILI,238,TON,2013
24,PINANG,277,TON,2013
25,T E H,4315,TON,2013
26,AREN,23211,TON,2014
27,CENGKEH,6578,TON,2014
28,GUTTAPERCHA,0,TON,2014
29,JAMBU METE,26,TON,2014
30,JARAK,406,TON,2014
31,KAKAO,1215,TON,2014
32,KAPOK,558,TON,2014
33,KARET,5042,TON,2014
34,KAYU MANIS,9,TON,2014
35,KELAPA DALAM,103626,TON,2014
36,KELAPA HIBRIDA,3278,TON,2014
37,KELAPA SAWIT,840,TON,2014
38,KEMIRI,233,TON,2014
39,KEMIRI SUNAN,3,TON,2014
40,KENANGA,10,TON,2014
41,KINA,29,TON,2014
42,KOPI ARABIKA,93,TON,2014
43,KOPI ROBUSTA,7853,TON,2014
44,KUMIS KUCING,60,TON,2014
45,LADA,842,TON,2014
46,PALA,1019,TON,2014
47,PANDAN,340,TON,2014
48,PANILI,216,TON,2014
49,PINANG,164,TON,2014
50,T E H,40403,TON,2014
51,AREN,22489,TON,2015
52,CENGKEH,6662,TON,2015
53,GUTTAPERCHA,0,TON,2015
54,JAMBU METE,23,TON,2015
55,JARAK,321,TON,2015
56,KAKAO,1106,TON,2015
57,KAPOK,392,TON,2015
58,KARET,4989,TON,2015
59,KAYU MANIS,9,TON,2015
60,KELAPA DALAM,101289,TON,2015
61,KELAPA HIBRIDA,3298,TON,2015
62,KELAPA SAWIT,935,TON,2015
63,KEMIRI,233,TON,2015
64,KEMIRI SUNAN,3,TON,2015
65,KENANGA,10,TON,2015
66,KINA,29,TON,2015
67,KOPI ARABIKA,934,TON,2015
68,KOPI ROBUSTA,806,TON,2015
69,KUMIS KUCING,54,TON,2015
70,LADA,815,TON,2015
71,PALA,1056,TON,2015
72,PANDAN,203,TON,2015
73,PANILI,152,TON,2015
74,PINANG,152,TON,2015
75,T E H,40125,TON,2015
76,AKARWANGI,71,TON,2016
77,AREN,22526,TON,2016
78,CENGKEH,6749,TON,2016
79,GUTTAPERCHA,0,TON,2016
80,JAMBU METE,18,TON,2016
81,JARAK,316,TON,2016
82,KAKAO,937,TON,2016
83,KAPOK,331,TON,2016
84,KARET,4737,TON,2016
85,KAYU MANIS,21,TON,2016
86,KELAPA DALAM,92413,TON,2016
87,KELAPA DERES,83913,TON,2016
88,KELAPA HIBRIDA,3183,TON,2016
89,KELAPA SAWIT,1237,TON,2016
90,KEMIRI,230,TON,2016
91,KEMIRI SUNAN,2,TON,2016
92,KENANGA,10,TON,2016
93,KINA,29,TON,2016
94,KOPI ARABIKA,10381,TON,2016
95,KOPI ROBUSTA,7248,TON,2016
96,KUMIS KUCING,55,TON,2016
97,LADA,808,TON,2016
98,MENDONG,1299,TON,2016
99,NILAM,202,TON,2016
100,PALA,1393,TON,2016
101,PANDAN,207,TON,2016
102,PANILI,179,TON,2016
103,PINANG,147,TON,2016
104,SEREHWANGI,489,TON,2016
105,T E H,40602,TON,2016
106,TEBU,31139,TON,2016
107,TEMBAKAU,8601,TON,2016
108,AKARWANGI,52,TON,2017
109,AREN,38425,TON,2017
110,CENGKEH,6315,TON,2017
111,GUTTAPERCHA,0,TON,2017
112,JAMBU METE,18,TON,2017
113,JARAK,39,TON,2017
114,KAKAO,939,TON,2017
115,KAPOK,295,TON,2017
116,KARET,4488,TON,2017
117,KAYU MANIS,11,TON,2017
118,KELAPA DALAM,90567,TON,2017
119,KELAPA DERES,108198,TON,2017
120,KELAPA HIBRIDA,809,TON,2017
121,KELAPA SAWIT,1791,TON,2017
122,KEMIRI,223,TON,2017
123,KEMIRI SUNAN,0,TON,2017
124,KENANGA,9,TON,2017
125,KINA,9,TON,2017
126,KOPI ARABIKA,8515,TON,2017
127,KOPI ROBUSTA,8204,TON,2017
128,KUMIS KUCING,56,TON,2017
129,LADA,822,TON,2017
130,MENDONG,1299,TON,2017
